Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
register and login,Chrome 142.0.7444.177,,,05-12-2025 22:50:11,05-12-2025 22:52:10,1m - 58.479s,PASSED
,,,,,,,
"Test Cases/web testing/Bookstore (register, login, profile and bookstore)/Register In Book Store",Chrome 142.0.7444.177,,,05-12-2025 22:50:12,05-12-2025 22:50:45,33.544s,PASSED
"DATA BINDING - {""firstname"":""Yuzuha"",""password"":""123$abcD"",""lastname"":""Usagi"",""username"":""usagiclimber""}",,,,,,,
"openBrowser("""")",Chrome 142.0.7444.177,,,05-12-2025 22:50:12,05-12-2025 22:50:18,5.783s,PASSED
"navigateToUrl(""https://demoqa.com/login"")",Chrome 142.0.7444.177,,,05-12-2025 22:50:18,05-12-2025 22:50:33,14.630s,PASSED
"click(findTestObject(""Page_DEMOQA/register bookstore/button_newUser""))",Chrome 142.0.7444.177,,,05-12-2025 22:50:33,05-12-2025 22:50:34,1.311s,PASSED
"setText(findTestObject(""Page_DEMOQA/register bookstore/input_First Name""), firstname)",Chrome 142.0.7444.177,,,05-12-2025 22:50:34,05-12-2025 22:50:36,1.858s,PASSED
"setText(findTestObject(""Page_DEMOQA/register bookstore/input_Last Name""), lastname)",Chrome 142.0.7444.177,,,05-12-2025 22:50:36,05-12-2025 22:50:37,0.977s,PASSED
"setText(findTestObject(""Page_DEMOQA/register bookstore/input_UserName""), username)",Chrome 142.0.7444.177,,,05-12-2025 22:50:37,05-12-2025 22:50:38,0.962s,PASSED
"setText(findTestObject(""Page_DEMOQA/register bookstore/input_Password""), password)",Chrome 142.0.7444.177,,,05-12-2025 22:50:38,05-12-2025 22:50:39,1.000s,PASSED
"click(findTestObject(""Page_DEMOQA/register bookstore/iframe_a-w217fwb3njxv""))",Chrome 142.0.7444.177,,,05-12-2025 22:50:39,05-12-2025 22:50:39,0.611s,PASSED
switchToDefaultContent(),Chrome 142.0.7444.177,,,05-12-2025 22:50:39,05-12-2025 22:50:40,0.171s,PASSED
"click(findTestObject(""Page_DEMOQA/register bookstore/button_register""))",Chrome 142.0.7444.177,,,05-12-2025 22:50:40,05-12-2025 22:50:40,0.588s,PASSED
delay(5),Chrome 142.0.7444.177,,,05-12-2025 22:50:40,05-12-2025 22:50:45,5.111s,PASSED
,,,,,,,
"Test Cases/web testing/Bookstore (register, login, profile and bookstore)/Register In Book Store",Chrome 142.0.7444.177,,,05-12-2025 22:50:46,05-12-2025 22:51:17,31.454s,PASSED
"DATA BINDING - {""firstname"":""Ryohei"",""password"":""1234354abcd"",""lastname"":""Arisu"",""username"":""arisugamersboy""}",,,,,,,
"openBrowser("""")",Chrome 142.0.7444.177,,,05-12-2025 22:50:46,05-12-2025 22:50:49,3.670s,PASSED
"navigateToUrl(""https://demoqa.com/login"")",Chrome 142.0.7444.177,,,05-12-2025 22:50:49,05-12-2025 22:51:04,14.605s,PASSED
